"Part number","Manufacturer (abbreviation)","Manufacturer (full name)","Type number","Order number","Product group","Description 1","Description 2",Description3,"Long description","Link to graphic file","Link to external document 1","Link to external document 2","Link to external document 3"
#
#
DEL.ECMA-E21830PS,DEL,Delta,ECMA-E21830PS,ECMA-E21830PS,Motors,"Servo Motor",,,"ECMA-A2 Series Servo Motor, 220V/2,000 rpm, 3000W, without Brake.",,DELTA\SERVO\DELTA_IA-ASD_A2_UM_EN_20170209.pdf,,
